"","CRC.01.N.RNA","CRC.01.T.RNA","CRC.02.M.RNA","CRC.02.N.RNA","CRC.02.T.RNA","CRC.03.M.RNA","CRC.03.N.RNA","CRC.04.T.RNA","CRC.06.N.RNA","CRC.06.T.RNA","CRC.07.N.RNA","CRC.07.T.RNA","CRC.08.N.RNA","CRC.08.T.RNA","CRC.09.N.RNA","CRC.09.T.RNA","CRC.10.N.RNA","CRC.10.T.RNA","CRC.11.N.RNA","CRC.11.T.RNA","CRC.13.M.RNA","CRC.13.N.RNA","CRC.13.T.RNA"
"ENSG00000223764.2|RP11-54O7.3",8.73160221558513,7.17155706139483,6.61566467906855,8.7829339637103,7.24511215348361,6.82227043041507,8.33714964344956,7.48429072239783,8.3931424122145,7.51001686476547,8.93552301742123,6.96763625955874,7.51261847667135,8.39054080030862,9.2835835623624,6.61957571461757,7.39748063425232,8.50567864272765,8.21684746125172,7.68631181572825,6.78371944836386,8.59780415890288,7.26218718899572
"ENSG00000187583.6|PLEKHN1",9.21743219889035,8.93117937409507,9.96433018044311,8.61877614797801,9.45722321347597,9.70464107514322,9.17421443292733,9.16147403382654,8.74477733227727,9.40383424070817,9.56199685950572,8.58661471347972,8.90374110924598,9.24487046373946,8.54955094755716,9.59906062542828,9.1614912233392,8.98712034964624,9.0723480908931,9.07626348209234,10.0061826511486,8.8670470489749,9.16709984177358
"ENSG00000187634.6|SAMD11",9.65049777076934,7.48762765363954,7.15165264897318,9.1202829518181,7.99563731782518,7.30583245084174,8.72190445766452,8.23983601011019,8.99802850566319,8.1400969187457,9.62821871616338,7.5099067082455,8.26667504754087,8.87145037686802,9.67051500318408,7.46761042122481,7.74230425778614,9.39582116662274,8.09954824883854,9.03857717557034,6.93085738280779,9.08491918355876,8.2517963522499
"ENSG00000240409.1|MTATP8P1",7.82627074118948,8.10103766143992,7.14403960712519,7.91299277105627,7.32749336848045,6.5603678965212,7.77286332733166,8.05129452280905,8.14787071669976,7.77943768592965,8.18756122343613,7.73974717919328,7.73091524915101,8.1963931534784,7.75478490987788,8.17252349275153,7.84625859166498,8.08104981096443,8.09271711611308,7.83459128651633,5.66724452845111,7.48790415168336,9.22937706652744
"ENSG00000207730.1|MIR200B",6.58209731033768,6.84914977228405,7.08335250360904,6.86651773142696,6.83622391304673,7.25948307917885,6.81676105852616,6.70985001037771,6.78544712979754,6.6457999528242,6.64113448934404,6.79011259327769,6.68268046753729,6.74856661508445,6.74241394123331,6.68883314138842,6.83848707210086,6.59276001052087,7.01642714222304,6.41481994039869,7.72170561359509,6.24200437991333,6.8223841545743
"ENSG00000188157.9|AGRN",12.3365702698381,13.7085975287792,14.559194935346,11.7889575377753,13.9652806778418,14.1668451752141,12.5709574922284,13.5756304835207,12.7053025623411,13.3398652362762,12.46296539853,13.5822024000873,12.724595247259,13.3205725513583,12.6841017837178,13.3610660148994,12.150535322914,13.8946324757033,12.4963986514171,13.5487691472002,14.0787559464775,12.7749888849448,13.4596883195409
"ENSG00000186891.9|TNFRSF18",11.8149509048,10.1146702836737,9.6023540971981,11.7633380914891,10.3058413994418,9.38812272470071,11.8056254531575,10.4777854102707,11.1173768770618,10.8122443114119,12.3197842975987,9.60983689087496,11.4707171363849,10.4589040520888,11.9826376723968,9.94698351607681,10.6273892695032,11.3022319189704,10.7124635206723,11.2171576678014,10.2352603770672,10.9040745589649,10.5321986520969
"ENSG00000184163.3|FAM132A",9.25831233909156,8.34092965524512,8.32256108668551,8.63187550680896,8.87180188769718,8.31306532879695,9.15251102548753,8.36066212690717,8.97593934552661,8.62330264881008,9.73568558358797,7.86355641074872,8.53605875214276,9.06318324219393,9.01667980076122,8.58256219357546,9.58015711183363,8.01908488250305,10.0100176989382,7.58922429539846,8.04536304508244,9.48856151011665,8.29231392599256
"ENSG00000162576.12|MXRA8",12.0374482579974,9.74993187412547,8.88580741660056,11.660360969393,10.5062703968595,9.55877984284381,10.6688214963141,10.8248374436952,11.1168914728989,10.670488659224,11.3731021533026,10.4142779788203,10.2717134399915,11.5156666921314,12.1163222677669,9.67105786435601,9.59109265412917,12.1962874779937,9.67800558223157,12.1093745498913,9.35058869274629,11.1116685902517,10.5901814998551
"ENSG00000169962.4|TAS1R3",10.4514418144865,8.66224039704545,7.10479180268309,10.5056983685322,9.63707115764115,7.96524243157993,9.98818386151905,9.29413503575745,10.0607985848181,9.05288362671386,9.95102510937897,9.16265710215301,10.1036496245062,9.01003258702582,9.65074987788571,9.46293233364626,9.34576956370112,9.76791264783086,9.58494823477146,9.52873397676052,9.33160311771033,8.55320671814601,9.36275149300008
"ENSG00000235098.4|ANKRD65",7.75175528856517,7.0913544401654,6.60157607888409,7.53407649708478,7.40999712581503,6.71781334108,7.5465942857203,7.2812420749836,7.8613348851832,6.98177484354738,7.77138814427295,7.07172158445763,7.36676608623067,7.47634364249991,7.88254505255482,6.96056467617576,7.26605502580811,7.57705470292248,7.19206865687204,7.65104107185855,6.78823049919587,7.44609261517776,7.31132658741027
"ENSG00000162572.15|SCNN1D",9.39744372465953,8.14591025497729,7.58378340210755,9.23231233596701,8.64560659537632,7.69986557628731,9.21522460596735,8.54661215119622,9.155526378585,8.38782760105184,8.44043628347617,9.10291769616067,8.5559446173898,8.98740936224704,9.26287830710339,8.28047567253345,8.91751760983957,8.62583636979727,8.94993863802467,8.59341534161216,8.47139608304728,8.84019578339368,8.15011046700992
"ENSG00000169885.5|CALML6",7.41209379148301,6.99253072317876,7.38362765652083,7.2156611453973,6.89717569920484,7.23070534779519,7.30477997547517,6.96097917785261,7.30793559992364,7.09668891473814,7.65309617696672,6.75152833769506,7.09893407557361,7.30569043908817,7.25416306736031,7.15046144730147,7.52781758299892,6.87680693166286,8.08050359734315,6.32412091731863,6.66118695506755,7.58146835556983,7.25380919048559
"ENSG00000269896.1|RP4-740C4.6",8.13691431312319,7.22458009069973,7.30614452176229,8.04735771247682,7.40761012214019,7.45451778271315,7.94328057966296,7.3633139940032,7.70178158685679,7.65971281696613,8.5517178433873,6.80977656043562,7.5359685141105,7.82552588971242,8.22291066732496,7.13858373649796,8.04731518712813,7.31417921669479,8.27084044103359,7.09065396278933,7.4381915531937,7.52371725309301,7.7992035500926
"ENSG00000177133.6|LINC00982",6.9889320682754,7.44521283132633,6.86856870179824,7.43001816741076,7.0702625164905,6.85630150031749,7.54139684782261,6.9711510375594,7.4226449964495,7.01149990315224,7.88361864451187,6.55052625508987,7.28023560591757,7.15390929368416,7.67549675017866,6.75864814942307,7.74372027350312,6.69042462609861,7.31599008253947,7.11815481706226,7.07924325617755,7.34788518381441,6.94172094570754
"ENSG00000238164.2|RP3-395M20.8",12.2551403128539,10.3389062843101,10.4749072863933,11.2836382431172,11.1164219958673,9.91740317123211,12.2158991257404,10.7416652284053,11.615722697693,10.9783238994709,12.4029549969755,10.1910916001885,11.0340051870021,11.5600414101619,11.5374474151246,11.0565991820394,12.371148353187,10.222898243977,12.1012184637414,10.4928281334225,10.4504523270161,11.7066388921513,10.7178763062103
"ENSG00000197921.5|HES5",8.07670668426117,7.43556141556768,7.33387407937761,7.53133158048374,8.12658900074269,7.80012608962114,7.8600162545963,7.3316523163866,8.18275314677279,7.32951495305607,8.80974513101385,6.702522968815,8.02741340632401,7.48485469350485,8.48374226612281,7.02852583370604,8.12205589852961,7.39021220129925,8.29713485677284,7.21513324305602,7.30457951332681,8.4152586095454,7.27195653773184
"ENSG00000228037.1|RP3-395M20.9",7.91461310465684,7.31178666644535,7.67898749689492,7.84420471059301,7.46592901517791,8.03454874417985,7.57056502758676,7.38400745089923,7.87293469586901,7.35346507523319,8.15234618779066,7.07405358331154,7.47392513268932,7.75247463841288,7.59628084770663,7.63011892339557,8.00984338694155,7.21655638416065,7.97551933582935,7.25088043527285,7.57462811361615,8.01369077236661,7.40080233668309
"ENSG00000227372.6|TP73-AS1",10.0879416419728,8.30545780568766,7.58000639279292,10.0722645267854,8.51195565150352,7.85602356357965,9.60644961354087,8.70175339396135,10.1151612626253,8.27823818503509,10.0720100409983,8.32138940666209,8.8546194486784,9.53877999898201,10.4513673291069,7.94203211855355,9.1827480342154,9.21065141344502,8.96337854410144,9.43002090355897,7.87645141389179,9.51052009496585,8.77725506222423
"ENSG00000097021.15|ACOT7",10.8630259655204,11.7204078726453,12.0934691698338,10.7839605399852,11.7127247265098,11.9862287102499,10.9492484182569,11.6546773078219,10.6058581451532,11.9775756930126,11.1268639632862,11.4565698748796,11.6575020928514,10.9259317453143,10.5102871594037,12.073146678762,10.8472803867369,11.7361534514289,10.8166937479218,11.7667400902439,11.9404639144053,11.1268448843227,11.5228456376008
"ENSG00000171680.16|PLEKHG5",10.2422200362779,11.299817970656,11.3643950285893,10.7322405560814,11.0926511029164,12.1262643811833,10.0382847167199,11.0247375896839,10.707835105919,10.8342029010149,11.0947086224505,10.4473293844834,10.5608478531233,10.9811901538106,10.1342902006749,11.407747806259,10.5531199917251,10.9889180152087,10.902057771683,10.6399802352509,11.451086632187,10.2073993178451,11.5308007375549
"ENSG00000069812.7|HES2",10.439645825676,8.11582036318439,8.54500295157957,9.78915813340792,9.50811741024669,9.84385711634204,9.21737788970436,8.78104348918779,10.0527147570749,8.5027514317855,9.59658125120727,8.95888493765316,9.39540871158906,9.16005747727136,9.26876166182114,9.28670452703928,10.2507153202031,8.30475086865732,10.6667283743507,7.88873781450971,9.47157685119966,9.06713507169185,9.30356657234267
