chr1,s1,e1,chr2,s2,e2
chr11,100000,4400000,chr17,0,8800000
chr11,100000,4400000,chr17,35400000,49100000
chr11,100000,4400000,chr17,72500000,81000000
chr11,45700000,48000000,chr17,0,8800000
chr11,45700000,48000000,chr17,35400000,49100000
chr11,45700000,48000000,chr17,72500000,81000000
chr11,60400000,78400000,chr17,0,8800000
chr11,60400000,78400000,chr17,35400000,49100000
chr11,60400000,78400000,chr17,72500000,81000000
chr16,0,5100000,chr19,300000,6800000
chr16,0,5100000,chr19,9300000,11800000
chr16,0,5100000,chr19,16100000,19400000
chr16,0,5100000,chr19,27500000,27900000
chr16,0,5100000,chr19,45200000,50800000
chr16,27800000,31800000,chr19,300000,6800000
chr16,27800000,31800000,chr19,9300000,11800000
chr16,27800000,31800000,chr19,16100000,19400000
chr16,27800000,31800000,chr19,27500000,27900000
chr16,27800000,31800000,chr19,45200000,50800000
chr16,87300000,90200000,chr19,300000,6800000
chr16,87300000,90200000,chr19,9300000,11800000
chr16,87300000,90200000,chr19,16100000,19400000
chr16,87300000,90200000,chr19,27500000,27900000
chr16,87300000,90200000,chr19,45200000,50800000
chr16,0,5100000,chr17,0,11300000
chr16,0,5100000,chr17,26600000,29600000
chr16,0,5100000,chr17,39600000,43400000
chr16,0,5100000,chr17,72200000,81100000
chr16,27200000,31800000,chr17,0,11300000
chr16,27200000,31800000,chr17,26600000,29600000
chr16,27200000,31800000,chr17,39600000,43400000
chr16,27200000,31800000,chr17,72200000,81100000
chr16,66500000,70600000,chr17,0,11300000
chr16,66500000,70600000,chr17,26600000,29600000
chr16,66500000,70600000,chr17,39600000,43400000
chr16,66500000,70600000,chr17,72200000,81100000
chr16,87100000,90200000,chr17,0,11300000
chr16,87100000,90200000,chr17,26600000,29600000
chr16,87100000,90200000,chr17,39600000,43400000
chr16,87100000,90200000,chr17,72200000,81100000
chr11,100000,3000000,chr19,300000,19300000
chr11,100000,3000000,chr19,40400000,41200000
chr11,100000,3000000,chr19,45400000,50800000
chr11,60500000,69500000,chr19,300000,19300000
chr11,60500000,69500000,chr19,40400000,41200000
chr11,60500000,69500000,chr19,45400000,50800000
chr11,70800000,78100000,chr19,300000,19300000
chr11,70800000,78100000,chr19,40400000,41200000
chr11,70800000,78100000,chr19,45400000,50800000
chr1,0,4200000,chr17,0,8400000
chr1,0,4200000,chr17,26600000,30800000
chr1,0,4200000,chr17,35300000,49200000
chr1,0,4200000,chr17,72600000,81000000
chr1,5900000,12700000,chr17,0,8400000
chr1,5900000,12700000,chr17,26600000,30800000
chr1,5900000,12700000,chr17,35300000,49200000
chr1,5900000,12700000,chr17,72600000,81000000
chr1,15400000,47100000,chr17,0,8400000
chr1,15400000,47100000,chr17,26600000,30800000
chr1,15400000,47100000,chr17,35300000,49200000
chr1,15400000,47100000,chr17,72600000,81000000
chr1,144800000,147300000,chr17,0,8400000
chr1,144800000,147300000,chr17,26600000,30800000
chr1,144800000,147300000,chr17,35300000,49200000
chr1,144800000,147300000,chr17,72600000,81000000
chr1,149700000,157100000,chr17,0,8400000
chr1,149700000,157100000,chr17,26600000,30800000
chr1,149700000,157100000,chr17,35300000,49200000
chr1,149700000,157100000,chr17,72600000,81000000
chr9,0,600000,chr19,300000,11500000
chr9,0,600000,chr19,13800000,19400000
chr9,0,600000,chr19,40400000,41300000
chr9,0,600000,chr19,45200000,50400000
chr9,33000000,36600000,chr19,300000,11500000
chr9,33000000,36600000,chr19,13800000,19400000
chr9,33000000,36600000,chr19,40400000,41300000
chr9,33000000,36600000,chr19,45200000,50400000
chr9,126600000,141100000,chr19,300000,11500000
chr9,126600000,141100000,chr19,13800000,19400000
chr9,126600000,141100000,chr19,40400000,41300000
chr9,126600000,141100000,chr19,45200000,50400000
chr8,0,2200000,chr19,200000,19500000
chr8,0,2200000,chr19,27500000,34800000
chr8,0,2200000,chr19,45400000,50400000
chr8,0,2200000,chr19,58200000,59100000
chr8,21500000,23600000,chr19,200000,19500000
chr8,21500000,23600000,chr19,27500000,34800000
chr8,21500000,23600000,chr19,45400000,50400000
chr8,21500000,23600000,chr19,58200000,59100000
chr8,27100000,30900000,chr19,200000,19500000
chr8,27100000,30900000,chr19,27500000,34800000
chr8,27100000,30900000,chr19,45400000,50400000
chr8,27100000,30900000,chr19,58200000,59100000
chr8,37200000,43200000,chr19,200000,19500000
chr8,37200000,43200000,chr19,27500000,34800000
chr8,37200000,43200000,chr19,45400000,50400000
chr8,37200000,43200000,chr19,58200000,59100000
chr8,122800000,126700000,chr19,200000,19500000
chr8,122800000,126700000,chr19,27500000,34800000
chr8,122800000,126700000,chr19,45400000,50400000
chr8,122800000,126700000,chr19,58200000,59100000
chr8,140600000,146300000,chr19,200000,19500000
chr8,140600000,146300000,chr19,27500000,34800000
chr8,140600000,146300000,chr19,45400000,50400000
chr8,140600000,146300000,chr19,58200000,59100000
chr1,0,48200000,chr9,0,700000
chr1,0,48200000,chr9,32900000,38300000
chr1,0,48200000,chr9,123100000,141100000
