chr1,s1,e1,chr2,s2,e2
chr14,20700000,36100000,chr21,26600000,48100000
chr14,88400000,107200000,chr21,26600000,48100000
chr14,19000000,25200000,chr22,16000000,32300000
chr14,19000000,25200000,chr22,37800000,46500000
chr14,19000000,25200000,chr22,49800000,50800000
chr14,72900000,78100000,chr22,16000000,32300000
chr14,72900000,78100000,chr22,37800000,46500000
chr14,72900000,78100000,chr22,49800000,50800000
chr14,98800000,107200000,chr22,16000000,32300000
chr14,98800000,107200000,chr22,37800000,46500000
chr14,98800000,107200000,chr22,49800000,50800000
chr16,32100000,56000000,chr18,0,1100000
chr16,32100000,56000000,chr18,6200000,14300000
chr16,32100000,56000000,chr18,18500000,22800000
chr16,32100000,56000000,chr18,73900000,78000000
chr16,58700000,66300000,chr18,0,1100000
chr16,58700000,66300000,chr18,6200000,14300000
chr16,58700000,66300000,chr18,18500000,22800000
chr16,58700000,66300000,chr18,73900000,78000000
chr16,74400000,81100000,chr18,0,1100000
chr16,74400000,81100000,chr18,6200000,14300000
chr16,74400000,81100000,chr18,18500000,22800000
chr16,74400000,81100000,chr18,73900000,78000000
chr13,19300000,34700000,chr16,33900000,55900000
chr13,19300000,34700000,chr16,58000000,66100000
chr13,19300000,34700000,chr16,71200000,81300000
chr13,108800000,115100000,chr16,33900000,55900000
chr13,108800000,115100000,chr16,58000000,66100000
chr13,108800000,115100000,chr16,71200000,81300000
chr6,100000,8400000,chr14,50000000,56800000
chr6,100000,8400000,chr14,58900000,78200000
chr6,100000,8400000,chr14,89000000,93800000
chr6,100000,8400000,chr14,94400000,107200000
chr6,24200000,28400000,chr14,50000000,56800000
chr6,24200000,28400000,chr14,58900000,78200000
chr6,24200000,28400000,chr14,89000000,93800000
chr6,24200000,28400000,chr14,94400000,107200000
chr6,33400000,46300000,chr14,50000000,56800000
chr6,33400000,46300000,chr14,58900000,78200000
chr6,33400000,46300000,chr14,89000000,93800000
chr6,33400000,46300000,chr14,94400000,107200000
chr6,56900000,57500000,chr14,50000000,56800000
chr6,56900000,57500000,chr14,58900000,78200000
chr6,56900000,57500000,chr14,89000000,93800000
chr6,56900000,57500000,chr14,94400000,107200000
chr6,73700000,74400000,chr14,50000000,56800000
chr6,73700000,74400000,chr14,58900000,78200000
chr6,73700000,74400000,chr14,89000000,93800000
chr6,73700000,74400000,chr14,94400000,107200000
chr6,87800000,91400000,chr14,50000000,56800000
chr6,87800000,91400000,chr14,58900000,78200000
chr6,87800000,91400000,chr14,89000000,93800000
chr6,87800000,91400000,chr14,94400000,107200000
chr6,105700000,112400000,chr14,50000000,56800000
chr6,105700000,112400000,chr14,58900000,78200000
chr6,105700000,112400000,chr14,89000000,93800000
chr6,105700000,112400000,chr14,94400000,107200000
chr6,118800000,119600000,chr14,50000000,56800000
chr6,118800000,119600000,chr14,58900000,78200000
chr6,118800000,119600000,chr14,89000000,93800000
chr6,118800000,119600000,chr14,94400000,107200000
chr6,148600000,152000000,chr14,50000000,56800000
chr6,148600000,152000000,chr14,58900000,78200000
chr6,148600000,152000000,chr14,89000000,93800000
chr6,148600000,152000000,chr14,94400000,107200000
chr6,156800000,160900000,chr14,50000000,56800000
chr6,156800000,160900000,chr14,58900000,78200000
chr6,156800000,160900000,chr14,89000000,93800000
chr6,156800000,160900000,chr14,94400000,107200000
chr7,0,8300000,chr19,4500000,7600000
chr7,0,8300000,chr19,10800000,24500000
chr7,0,8300000,chr19,27500000,36000000
chr7,0,8300000,chr19,46600000,48800000
chr7,43300000,45200000,chr19,4500000,7600000
chr7,43300000,45200000,chr19,10800000,24500000
chr7,43300000,45200000,chr19,27500000,36000000
chr7,43300000,45200000,chr19,46600000,48800000
chr7,63800000,66500000,chr19,4500000,7600000
chr7,63800000,66500000,chr19,10800000,24500000
chr7,63800000,66500000,chr19,27500000,36000000
chr7,63800000,66500000,chr19,46600000,48800000
chr7,72200000,77500000,chr19,4500000,7600000
chr7,72200000,77500000,chr19,10800000,24500000
chr7,72200000,77500000,chr19,27500000,36000000
chr7,72200000,77500000,chr19,46600000,48800000
chr7,97400000,103100000,chr19,4500000,7600000
chr7,97400000,103100000,chr19,10800000,24500000
chr7,97400000,103100000,chr19,27500000,36000000
chr7,97400000,103100000,chr19,46600000,48800000
chr7,147900000,152400000,chr19,4500000,7600000
chr7,147900000,152400000,chr19,10800000,24500000
chr7,147900000,152400000,chr19,27500000,36000000
chr7,147900000,152400000,chr19,46600000,48800000
chr7,158200000,159100000,chr19,4500000,7600000
chr7,158200000,159100000,chr19,10800000,24500000
chr7,158200000,159100000,chr19,27500000,36000000
chr7,158200000,159100000,chr19,46600000,48800000
chr7,0,8200000,chr15,39400000,45900000
chr7,0,8200000,chr15,51800000,52900000
chr7,0,8200000,chr15,63200000,71600000
chr7,0,8200000,chr15,72100000,81600000
chr7,0,8200000,chr15,89000000,92700000
chr7,65200000,66600000,chr15,39400000,45900000
chr7,65200000,66600000,chr15,51800000,52900000
chr7,65200000,66600000,chr15,63200000,71600000
chr7,65200000,66600000,chr15,72100000,81600000
chr7,65200000,66600000,chr15,89000000,92700000
chr7,71900000,77800000,chr15,39400000,45900000
chr7,71900000,77800000,chr15,51800000,52900000
chr7,71900000,77800000,chr15,63200000,71600000
chr7,71900000,77800000,chr15,72100000,81600000
chr7,71900000,77800000,chr15,89000000,92700000
chr7,97400000,103100000,chr15,39400000,45900000
chr7,97400000,103100000,chr15,51800000,52900000
chr7,97400000,103100000,chr15,63200000,71600000
chr7,97400000,103100000,chr15,72100000,81600000
chr7,97400000,103100000,chr15,89000000,92700000
chr7,126900000,131500000,chr15,39400000,45900000
chr7,126900000,131500000,chr15,51800000,52900000
chr7,126900000,131500000,chr15,63200000,71600000
chr7,126900000,131500000,chr15,72100000,81600000
chr7,126900000,131500000,chr15,89000000,92700000
chr7,148100000,152700000,chr15,39400000,45900000
chr7,148100000,152700000,chr15,51800000,52900000
chr7,148100000,152700000,chr15,63200000,71600000
chr7,148100000,152700000,chr15,72100000,81600000
chr7,148100000,152700000,chr15,89000000,92700000
chr7,158100000,159100000,chr15,39400000,45900000
chr7,158100000,159100000,chr15,51800000,52900000
chr7,158100000,159100000,chr15,63200000,71600000
chr7,158100000,159100000,chr15,72100000,81600000
chr7,158100000,159100000,chr15,89000000,92700000
chr4,0,9100000,chr19,8800000,9900000
chr4,0,9100000,chr19,19700000,24500000
chr4,0,9100000,chr19,27500000,38500000
chr4,0,9100000,chr19,56200000,59100000
chr4,24400000,27500000,chr19,8800000,9900000
chr4,24400000,27500000,chr19,19700000,24500000
chr4,24400000,27500000,chr19,27500000,38500000
chr4,24400000,27500000,chr19,56200000,59100000
chr4,37200000,42700000,chr19,8800000,9900000
chr4,37200000,42700000,chr19,19700000,24500000
chr4,37200000,42700000,chr19,27500000,38500000
chr4,37200000,42700000,chr19,56200000,59100000
chr4,46200000,49200000,chr19,8800000,9900000
chr4,46200000,49200000,chr19,19700000,24500000
chr4,46200000,49200000,chr19,27500000,38500000
chr4,46200000,49200000,chr19,56200000,59100000
chr4,53100000,58100000,chr19,8800000,9900000
chr4,53100000,58100000,chr19,19700000,24500000
chr4,53100000,58100000,chr19,27500000,38500000
chr4,53100000,58100000,chr19,56200000,59100000
chr4,190200000,191000000,chr19,8800000,9900000
chr4,190200000,191000000,chr19,19700000,24500000
chr4,190200000,191000000,chr19,27500000,38500000
chr4,190200000,191000000,chr19,56200000,59100000
chr6,100000,7900000,chr20,0,5900000
chr6,100000,7900000,chr20,30100000,37800000
chr6,100000,7900000,chr20,42000000,50700000
chr6,100000,7900000,chr20,60500000,62900000
chr6,33400000,46600000,chr20,0,5900000
chr6,33400000,46600000,chr20,30100000,37800000
chr6,33400000,46600000,chr20,42000000,50700000
chr6,33400000,46600000,chr20,60500000,62900000
chr6,56900000,57500000,chr20,0,5900000
chr6,56900000,57500000,chr20,30100000,37800000
chr6,56900000,57500000,chr20,42000000,50700000
chr6,56900000,57500000,chr20,60500000,62900000
chr4,0,11500000,chr17,9000000,16000000
chr4,0,11500000,chr17,19400000,26300000
chr4,0,11500000,chr17,30500000,33200000
chr4,0,11500000,chr17,49000000,72200000
chr4,37600000,41200000,chr17,9000000,16000000
chr4,37600000,41200000,chr17,19400000,26300000
chr4,37600000,41200000,chr17,30500000,33200000
chr4,37600000,41200000,chr17,49000000,72200000
chr4,52700000,57900000,chr17,9000000,16000000
chr4,52700000,57900000,chr17,19400000,26300000
chr4,52700000,57900000,chr17,30500000,33200000
chr4,52700000,57900000,chr17,49000000,72200000
chr4,184200000,187100000,chr17,9000000,16000000
chr4,184200000,187100000,chr17,19400000,26300000
chr4,184200000,187100000,chr17,30500000,33200000
chr4,184200000,187100000,chr17,49000000,72200000
chr4,190300000,191000000,chr17,9000000,16000000
chr4,190300000,191000000,chr17,19400000,26300000
chr4,190300000,191000000,chr17,30500000,33200000
chr4,190300000,191000000,chr17,49000000,72200000
chr1,0,13300000,chr3,8900000,18900000
chr1,0,13300000,chr3,40200000,54100000
chr1,0,13300000,chr3,121200000,130700000
chr1,0,13300000,chr3,193200000,197900000
chr1,13800000,48300000,chr3,8900000,18900000
chr1,13800000,48300000,chr3,40200000,54100000
chr1,13800000,48300000,chr3,121200000,130700000
chr1,13800000,48300000,chr3,193200000,197900000
chr1,50900000,55800000,chr3,8900000,18900000
chr1,50900000,55800000,chr3,40200000,54100000
chr1,50900000,55800000,chr3,121200000,130700000
chr1,50900000,55800000,chr3,193200000,197900000
chr1,88600000,93600000,chr3,8900000,18900000
chr1,88600000,93600000,chr3,40200000,54100000
chr1,88600000,93600000,chr3,121200000,130700000
chr1,88600000,93600000,chr3,193200000,197900000
chr1,100500000,101200000,chr3,8900000,18900000
chr1,100500000,101200000,chr3,40200000,54100000
