chr1,s1,e1,chr2,s2,e2
chr5,0,3100000,chr13,20100000,54000000
chr5,0,3100000,chr13,59900000,61200000
chr5,0,3100000,chr13,71500000,81300000
chr5,0,3100000,chr13,95100000,101600000
chr5,0,3100000,chr13,108400000,112200000
chr5,5400000,17600000,chr13,20100000,54000000
chr5,5400000,17600000,chr13,59900000,61200000
chr5,5400000,17600000,chr13,71500000,81300000
chr5,5400000,17600000,chr13,95100000,101600000
chr5,5400000,17600000,chr13,108400000,112200000
chr5,30500000,43600000,chr13,20100000,54000000
chr5,30500000,43600000,chr13,59900000,61200000
chr5,30500000,43600000,chr13,71500000,81300000
chr5,30500000,43600000,chr13,95100000,101600000
chr5,30500000,43600000,chr13,108400000,112200000
chr5,51200000,60000000,chr13,20100000,54000000
chr5,51200000,60000000,chr13,59900000,61200000
chr5,51200000,60000000,chr13,71500000,81300000
chr5,51200000,60000000,chr13,95100000,101600000
chr5,51200000,60000000,chr13,108400000,112200000
chr5,60400000,62400000,chr13,20100000,54000000
chr5,60400000,62400000,chr13,59900000,61200000
chr5,60400000,62400000,chr13,71500000,81300000
chr5,60400000,62400000,chr13,95100000,101600000
chr5,60400000,62400000,chr13,108400000,112200000
chr5,94200000,96900000,chr13,20100000,54000000
chr5,94200000,96900000,chr13,59900000,61200000
chr5,94200000,96900000,chr13,71500000,81300000
chr5,94200000,96900000,chr13,95100000,101600000
chr5,94200000,96900000,chr13,108400000,112200000
chr5,120900000,161000000,chr13,20100000,54000000
chr5,120900000,161000000,chr13,59900000,61200000
chr5,120900000,161000000,chr13,71500000,81300000
chr5,120900000,161000000,chr13,95100000,101600000
chr5,120900000,161000000,chr13,108400000,112200000
chr5,167600000,177000000,chr13,20100000,54000000
chr5,167600000,177000000,chr13,59900000,61200000
chr5,167600000,177000000,chr13,71500000,81300000
chr5,167600000,177000000,chr13,95100000,101600000
chr5,167600000,177000000,chr13,108400000,112200000
chr5,177400000,180600000,chr13,20100000,54000000
chr5,177400000,180600000,chr13,59900000,61200000
chr5,177400000,180600000,chr13,71500000,81300000
chr5,177400000,180600000,chr13,95100000,101600000
chr5,177400000,180600000,chr13,108400000,112200000
chr5,0,19100000,chrX,2700000,31400000
chr5,0,19100000,chrX,36500000,48900000
chr5,0,19100000,chrX,95100000,100700000
chr5,0,19100000,chrX,104700000,107400000
chr5,0,19100000,chrX,116500000,119000000
chr5,0,19100000,chrX,121100000,124200000
chr5,0,19100000,chrX,128200000,138800000
chr5,0,19100000,chrX,144500000,151600000
chr5,28700000,42100000,chrX,2700000,31400000
chr5,28700000,42100000,chrX,36500000,48900000
chr5,28700000,42100000,chrX,95100000,100700000
chr5,28700000,42100000,chrX,104700000,107400000
chr5,28700000,42100000,chrX,116500000,119000000
chr5,28700000,42100000,chrX,121100000,124200000
chr5,28700000,42100000,chrX,128200000,138800000
chr5,28700000,42100000,chrX,144500000,151600000
chr5,52500000,57900000,chrX,2700000,31400000
chr5,52500000,57900000,chrX,36500000,48900000
chr5,52500000,57900000,chrX,95100000,100700000
chr5,52500000,57900000,chrX,104700000,107400000
chr5,52500000,57900000,chrX,116500000,119000000
chr5,52500000,57900000,chrX,121100000,124200000
chr5,52500000,57900000,chrX,128200000,138800000
chr5,52500000,57900000,chrX,144500000,151600000
chr5,122800000,124200000,chrX,2700000,31400000
chr5,122800000,124200000,chrX,36500000,48900000
chr5,122800000,124200000,chrX,95100000,100700000
chr5,122800000,124200000,chrX,104700000,107400000
chr5,122800000,124200000,chrX,116500000,119000000
chr5,122800000,124200000,chrX,121100000,124200000
chr5,122800000,124200000,chrX,128200000,138800000
chr5,122800000,124200000,chrX,144500000,151600000
chr5,125600000,161500000,chrX,2700000,31400000
chr5,125600000,161500000,chrX,36500000,48900000
chr5,125600000,161500000,chrX,95100000,100700000
chr5,125600000,161500000,chrX,104700000,107400000
chr5,125600000,161500000,chrX,116500000,119000000
chr5,125600000,161500000,chrX,121100000,124200000
chr5,125600000,161500000,chrX,128200000,138800000
chr5,125600000,161500000,chrX,144500000,151600000
chr5,165200000,180600000,chrX,2700000,31400000
chr5,165200000,180600000,chrX,36500000,48900000
chr5,165200000,180600000,chrX,95100000,100700000
chr5,165200000,180600000,chrX,104700000,107400000
chr5,165200000,180600000,chrX,116500000,119000000
chr5,165200000,180600000,chrX,121100000,124200000
chr5,165200000,180600000,chrX,128200000,138800000
chr5,165200000,180600000,chrX,144500000,151600000
chr13,19600000,51600000,chrX,2700000,46600000
chr13,19600000,51600000,chrX,96300000,97500000
chr13,19600000,51600000,chrX,116800000,119000000
chr13,19600000,51600000,chrX,123100000,124100000
chr13,19600000,51600000,chrX,128000000,129800000
chr13,19600000,51600000,chrX,135000000,140400000
chr13,19600000,51600000,chrX,145600000,154900000
chr13,52000000,54000000,chrX,2700000,46600000
chr13,52000000,54000000,chrX,96300000,97500000
chr13,52000000,54000000,chrX,116800000,119000000
chr13,52000000,54000000,chrX,123100000,124100000
chr13,52000000,54000000,chrX,128000000,129800000
chr13,52000000,54000000,chrX,135000000,140400000
chr13,52000000,54000000,chrX,145600000,154900000
chr13,59500000,61400000,chrX,2700000,46600000
chr13,59500000,61400000,chrX,96300000,97500000
chr13,59500000,61400000,chrX,116800000,119000000
chr13,59500000,61400000,chrX,123100000,124100000
chr13,59500000,61400000,chrX,128000000,129800000
chr13,59500000,61400000,chrX,135000000,140400000
chr13,59500000,61400000,chrX,145600000,154900000
chr13,72900000,81700000,chrX,2700000,46600000
chr13,72900000,81700000,chrX,96300000,97500000
chr13,72900000,81700000,chrX,116800000,119000000
chr13,72900000,81700000,chrX,123100000,124100000
chr13,72900000,81700000,chrX,128000000,129800000
chr13,72900000,81700000,chrX,135000000,140400000
chr13,72900000,81700000,chrX,145600000,154900000
chr13,94800000,101700000,chrX,2700000,46600000
chr13,94800000,101700000,chrX,96300000,97500000
chr13,94800000,101700000,chrX,116800000,119000000
chr13,94800000,101700000,chrX,123100000,124100000
chr13,94800000,101700000,chrX,128000000,129800000
chr13,94800000,101700000,chrX,135000000,140400000
chr13,94800000,101700000,chrX,145600000,154900000
chr13,104500000,113500000,chrX,2700000,46600000
chr13,104500000,113500000,chrX,96300000,97500000
chr13,104500000,113500000,chrX,116800000,119000000
chr13,104500000,113500000,chrX,123100000,124100000
chr13,104500000,113500000,chrX,128000000,129800000
chr13,104500000,113500000,chrX,135000000,140400000
chr13,104500000,113500000,chrX,145600000,154900000
chr4,0,5600000,chr13,19000000,57500000
chr4,0,5600000,chr13,73700000,80600000
chr4,0,5600000,chr13,93000000,98400000
chr4,0,5600000,chr13,102300000,103700000
chr4,0,5600000,chr13,107100000,113000000
chr4,9500000,27000000,chr13,19000000,57500000
chr4,9500000,27000000,chr13,73700000,80600000
chr4,9500000,27000000,chr13,93000000,98400000
chr4,9500000,27000000,chr13,102300000,103700000
chr4,9500000,27000000,chr13,107100000,113000000
chr4,34400000,43100000,chr13,19000000,57500000
chr4,34400000,43100000,chr13,73700000,80600000
chr4,34400000,43100000,chr13,93000000,98400000
chr4,34400000,43100000,chr13,102300000,103700000
chr4,34400000,43100000,chr13,107100000,113000000
chr4,45600000,49500000,chr13,19000000,57500000
chr4,45600000,49500000,chr13,73700000,80600000
chr4,45600000,49500000,chr13,93000000,98400000
chr4,45600000,49500000,chr13,102300000,103700000
chr4,45600000,49500000,chr13,107100000,113000000
chr4,56400000,58600000,chr13,19000000,57500000
chr4,56400000,58600000,chr13,73700000,80600000
chr4,56400000,58600000,chr13,93000000,98400000
chr4,56400000,58600000,chr13,102300000,103700000
chr4,56400000,58600000,chr13,107100000,113000000
chr4,71600000,75000000,chr13,19000000,57500000
chr4,71600000,75000000,chr13,73700000,80600000
chr4,71600000,75000000,chr13,93000000,98400000
chr4,71600000,75000000,chr13,102300000,103700000
chr4,71600000,75000000,chr13,107100000,113000000
chr4,75500000,91800000,chr13,19000000,57500000
chr4,75500000,91800000,chr13,73700000,80600000
chr4,75500000,91800000,chr13,93000000,98400000
chr4,75500000,91800000,chr13,102300000,103700000
chr4,75500000,91800000,chr13,107100000,113000000
chr4,101500000,104200000,chr13,19000000,57500000
chr4,101500000,104200000,chr13,73700000,80600000
chr4,101500000,104200000,chr13,93000000,98400000
chr4,101500000,104200000,chr13,102300000,103700000
chr4,101500000,104200000,chr13,107100000,113000000
chr4,105100000,106800000,chr13,19000000,57500000
chr4,105100000,106800000,chr13,73700000,80600000
chr4,105100000,106800000,chr13,93000000,98400000
chr4,105100000,106800000,chr13,102300000,103700000
chr4,105100000,106800000,chr13,107100000,113000000
chr4,110100000,111200000,chr13,19000000,57500000
chr4,110100000,111200000,chr13,73700000,80600000
chr4,110100000,111200000,chr13,93000000,98400000
chr4,110100000,111200000,chr13,102300000,103700000
chr4,110100000,111200000,chr13,107100000,113000000
chr4,138800000,142800000,chr13,19000000,57500000
chr4,138800000,142800000,chr13,73700000,80600000
chr4,138800000,142800000,chr13,93000000,98400000
chr4,138800000,142800000,chr13,102300000,103700000
chr4,138800000,142800000,chr13,107100000,113000000
chr4,149200000,157500000,chr13,19000000,57500000
chr4,149200000,157500000,chr13,73700000,80600000
chr4,149200000,157500000,chr13,93000000,98400000
chr4,149200000,157500000,chr13,102300000,103700000
chr4,149200000,157500000,chr13,107100000,113000000
chr4,159000000,160700000,chr13,19000000,57500000
chr4,159000000,160700000,chr13,73700000,80600000
chr4,159000000,160700000,chr13,93000000,98400000
chr4,159000000,160700000,chr13,102300000,103700000
chr4,159000000,160700000,chr13,107100000,113000000
chr4,165100000,167700000,chr13,19000000,57500000
chr4,165100000,167700000,chr13,73700000,80600000
chr4,165100000,167700000,chr13,93000000,98400000
chr4,165100000,167700000,chr13,102300000,103700000
chr4,165100000,167700000,chr13,107100000,113000000
chr4,169200000,171600000,chr13,19000000,57500000
chr4,169200000,171600000,chr13,73700000,80600000
chr4,169200000,171600000,chr13,93000000,98400000
chr4,169200000,171600000,chr13,102300000,103700000
chr4,169200000,171600000,chr13,107100000,113000000
chr4,178000000,191000000,chr13,19000000,57500000
chr4,178000000,191000000,chr13,73700000,80600000
chr4,178000000,191000000,chr13,93000000,98400000
chr4,178000000,191000000,chr13,102300000,103700000
chr4,178000000,191000000,chr13,107100000,113000000
chr13,19100000,54400000,chr19,13400000,13900000
chr13,19100000,54400000,chr19,16900000,24500000
chr13,19100000,54400000,chr19,27500000,41000000
chr13,19100000,54400000,chr19,43900000,47600000
chr13,19100000,54400000,chr19,56300000,59000000
chr13,72900000,74100000,chr19,13400000,13900000
chr13,72900000,74100000,chr19,16900000,24500000
chr13,72900000,74100000,chr19,27500000,41000000
chr13,72900000,74100000,chr19,43900000,47600000
chr13,72900000,74100000,chr19,56300000,59000000
chr13,94800000,96700000,chr19,13400000,13900000
chr13,94800000,96700000,chr19,16900000,24500000
chr13,94800000,96700000,chr19,27500000,41000000
chr13,94800000,96700000,chr19,43900000,47600000
chr13,94800000,96700000,chr19,56300000,59000000
chr13,98400000,102100000,chr19,13400000,13900000
chr13,98400000,102100000,chr19,16900000,24500000
chr13,98400000,102100000,chr19,27500000,41000000
chr13,98400000,102100000,chr19,43900000,47600000
chr13,98400000,102100000,chr19,56300000,59000000
chr13,111000000,115100000,chr19,13400000,13900000
chr13,111000000,115100000,chr19,16900000,24500000
